Electrode,Resistance
B1_52,32.002255
B1_53,32.204663
B1_54,30.3242
B1_55,0
B1_56,30.544327
B1_57,35.342025
B1_58,27.399062
B1_61,11.89462
B1_62,15.781825
B1_63,43.726652
B1_64,24.101928
B1_65,32.375179
B1_66,38.068927
B1_67,44.987254
B1_68,38.373166
B1_71,11.185349
B1_72,11.046905
B1_73,34.379896
B1_74,35.498993
B1_75,33.912977
B1_76,27.925396
B1_77,36.043638
B1_78,39.329728
B1_81,11.583362
B1_82,10.495364
B1_83,12.194909
B1_84,47.397402
B1_85,42.117763
B1_86,34.848918
B1_87,44.752113
B1_88,51.290269
B2_11,39.35932
B2_12,43.440714
B2_13,42.672507
B2_14,20.809274
B2_15,12.227492
B2_16,20.30151
B2_17,11.03197
B2_18,10.883405
B2_21,51.573127
B2_22,48.493386
B2_23,52.304742
B2_24,52.698914
B2_25,16.260481
B2_26,16.410011
B2_27,10.490087
B2_28,11.626334
B2_31,51.408679
B2_32,50.079413
B2_33,52.833632
B2_34,39.871667
B2_35,17.795893
B2_36,14.214623
B2_37,10.933928
B2_38,10.142335
B2_41,49.381166
B2_42,51.939864
B2_43,45.769827
B2_44,24.620624
B2_45,14.716589
B2_46,24.36888
B2_47,16.988805
B2_48,14.340685
B2_51,49.943903
B2_52,39.751798
B2_53,24.859762
B2_54,19.569549
B2_55,12.455314
B2_56,13.706653
B2_57,11.706933
B2_58,11.883549
B2_61,13.076118
B2_62,14.794506
B2_63,15.817302
B2_64,15.277084
B2_65,17.97079
B2_66,14.615008
B2_67,12.552462
B2_68,10.922083
B2_71,10.441163
B2_72,10.480903
B2_73,11.465042
B2_74,10.55396
B2_75,12.316478
B2_76,10.436417
B2_77,10.070521
B2_78,9.853116
B2_81,10.187471
B2_82,10.26544
B2_83,11.575024
B2_84,10.232764
B2_85,10.05765
B2_86,10.360019
B2_87,12.583144
B2_88,9.769814
B3_11,12.055752
B3_12,11.424316
B3_13,11.964748
B3_14,11.298605
B3_15,11.091697
B3_16,12.609619
B3_17,12.165694
B3_18,12.021977
B3_21,11.566817
B3_22,11.516005
B3_23,11.870409
B3_24,11.356288
B3_25,10.942015
B3_26,11.557688
B3_27,12.567807
B3_28,12.076196
B3_31,13.424675
B3_32,12.076324
B3_33,11.004898
B3_34,11.252121
B3_35,12.003999
B3_36,28.408272
B3_37,18.676924
B3_38,15.03606
B3_41,11.863496
B3_42,11.769129
B3_43,11.393324
B3_44,16.225634
B3_45,51.834366
B3_46,40.597315
B3_47,47.531624
B3_48,46.604224
B3_51,11.789463
B3_52,10.869956
B3_53,11.858832
B3_54,30.274352
B3_55,54.498191
B3_56,37.01045
B3_57,0
B3_58,29.149596
B3_61,12.163501
B3_62,11.572596
B3_63,13.138708
B3_64,24.031317
B3_65,49.770292
B3_66,34.385614
B3_67,0
B3_68,0
B3_71,11.993768
B3_72,12.035664
B3_73,17.273521
B3_74,39.552858
B3_75,50.98931
B3_76,31.963589
B3_77,0
B3_78,0
B3_81,12.11021
B3_82,11.31615
B3_83,20.11928
B3_84,47.35601
B3_85,50.733994
B3_86,47.311667
B3_87,39.521679
B3_88,
